         x          IC           u           e
     0.912    0.880014    0.154283    0.153668
     0.914    0.860132    0.150877    0.150262
     0.916    0.840197    0.147465     0.14685
     0.918    0.820184    0.144047    0.143432
      0.92    0.800098    0.140623    0.140009
     0.922    0.779973    0.137194     0.13658
     0.924     0.75986     0.13376    0.133146
     0.926    0.739802     0.13032    0.129706
     0.928    0.719823    0.126875    0.126261
      0.93    0.699914    0.123425    0.122812
     0.932    0.680039    0.119971    0.119357
     0.934    0.660148    0.116511    0.115898
     0.936    0.640198    0.113047    0.112434
     0.938    0.620169    0.109579    0.108966
      0.94    0.600074    0.106106    0.105493
     0.942    0.579949    0.102629    0.102016
     0.944    0.559845   0.0991485   0.0985355
     0.946    0.539803   0.0956637   0.0950508
     0.948    0.519839   0.0921752   0.0915624
      0.95    0.499938   0.0886831   0.0880703
     0.952    0.480063   0.0851874   0.0845748
     0.954    0.460162   0.0816885    0.081076
     0.956    0.440196   0.0781863   0.0775739
     0.958    0.420153   0.0746811   0.0740688
      0.96    0.400049    0.071173   0.0705608
     0.962    0.379926   0.0676621     0.06705
     0.964    0.359832   0.0641485   0.0635365
     0.966    0.339805   0.0606325   0.0600205
     0.968    0.319855   0.0571141   0.0565022
      0.97    0.299963   0.0535934   0.0529816
     0.972    0.280085   0.0500707    0.049459
     0.974    0.260173    0.046546   0.0459343
     0.976    0.240193   0.0430195   0.0424079
     0.978    0.220136   0.0394913   0.0388798
      0.98    0.200025   0.0359616   0.0353502
     0.982    0.179904   0.0324305   0.0318191
     0.984    0.159822   0.0288981   0.0282868
     0.986     0.13981   0.0253647   0.0247534
     0.988    0.119874   0.0218302    0.021219
      0.99   0.0999876    0.018295   0.0176838
     0.992   0.0801063    0.014759   0.0141479
     0.994   0.0601828   0.0112225   0.0106114
     0.996   0.0401867  0.00768557   0.0070745
     0.998   0.0201164  0.00414836  0.00353732
         1 -2.9358e-16 0.000611019 6.89459e-17
